Compania,Articulo,Descripcion,UdVta,ClaveAcceso,CostoEstandar
225,010011262,L-3,MIL,905             ,0.9631
225,010015474,61200005001,MIL,864             ,2.0583
225,010015814,61500004001,MIL,864             ,0.979
225,010015852,AMMENS 60 G,MIL,876             ,1.912
225,010016257,E14-0011-8,MIL,394             ,4.4086
225,010016862,CLM,MIL,013002          ,2.1444
225,010017082,2070164 1-2-3- MIXTA 20PZAS,MIL,886             ,3.1505
225,010017704,12/16,MIL,138             ,3.4815
225,010018796,CAJA 12/20 NI,MIL,138             ,3.5111
225,010018836,C-C366 DESK 1 LT,MIL,138             ,4.9262
225,010019311,YOLCAN 1,MIL,115057          ,11.0881
225,010019335,MJ0905,MIL,886             ,8.1975
225,010019614,SEPARADOR 60900101973,MIL,115041          ,0.5515
225,010019669,CLAMSHELL 160gr 4X4,MIL,906             ,8.8602
225,010119137,DIVISIÓN 4 CERVEZAS,MIL,115024          ,1.3494
225,010119311,DIVISIÓN YOLCAN 1,MIL,115057          ,0.5573
225,010218762,DIV. LARGA AGUA DE COCO,MIL,115036          ,0.3129
225,010220797,DIVISION LARGA ESTIBABLE 4X5,MIL,115020          ,0.8126
225,020012020,CAJA CARTÓN DMOX-3 1/2,MIL,44              ,3.1688
225,020012231,CHAROLA TPC 2,MIL,207             ,8.9759
225,020012476,CAJA CARTON 1/RG S/I,MIL,44              ,2.4632
225,020012592,PIZZA EXTRA GRANDE,MIL,558             ,4.4325
225,020012751,CAJA 12/480 NADRO,MIL,727             ,3.37399999999999
225,020013970,48/120 KURAX,MIL,727             ,3.4757
225,020014021,0729 CAJA AS SEMIDESCREMADA,MIL,643             ,4.2692
225,020014162,CAJA CARTON No.1 LA PERLA,MIL,44              ,2.3338
225,020014940,SEP. CARTON L-5,MIL,905             ,0.7371
225,020018416,4927,MIL,871             ,5.4432
225,020019208,3000,MIL,871             ,5.1406
225,020019375,3139,MIL,871             ,5.0729
225,02007820,CAJA CARTON C-1M,MIL,44              ,2.5288
225,02A0034,GOMA,KGS,GOMA            ,13.5755
225,030011422,No. 90,MIL,207             ,11.0512
225,030012631,IM000797,MIL,298             ,3.33249999999999
225,030014837,CO212,MIL,570             ,8.6079
225,030015136,CAJA CARTON VERMICELLI 6 Pzas.,MIL,44              ,8.2707
225,030015608,FSVX10,MIL,871             ,3.5666
225,030015948,PDSVX03 CUADRO,MIL,871             ,0.8142
225,030016039,PD2008 CUADRO,MIL,871             ,0.7301
225,030016058,PD1238 CUADRO,MIL,871             ,1.0427
225,030016082,PD1362 CUADRO,MIL,871             ,0.8718
225,030016100,PD1493 CUADRO,MIL,871             ,0.8369
225,030016163,PD1116 CUADRO,MIL,871             ,0.5482
225,030016214,PD1706 CUADRO,MIL,871             ,0.5621
225,030016234,PD1306 CUADRO,MIL,871             ,0.7127
225,030016264,PD1101 CUADRO,MIL,871             ,1.17649999999999
225,030016320,PD1022 CUADRO,MIL,871             ,0.9733
225,030016327,PD1208 CUADRO,MIL,871             ,0.8287
225,030016358,PD1414 CUADRO,MIL,871             ,0.8954
225,030016466,11ZX-1,MIL,871             ,2.1508
225,030017129,C0402,MIL,570             ,6.1513
225,030017381,PD1727 CUADRO,MIL,871             ,0.834
225,030017752,91099976,MIL,001039          ,6.884
