Compania,Orden,Posicion,FechaMov,Hora,Secuencia,TipoReg,Cantidad,Articulo
225,176266,10,09/11/2020,78401,9,3,1,KD420018625     
225,177818,10,03/11/2020,82891,1,3,8.275,KS320019887     
225,180979,10,03/11/2020,82891,2,3,4.675,KS320019887     
225,181946,10,27/11/2020,77458,3,3,1.25,KS290019006     
225,181936,10,27/11/2020,77458,2,3,3.25,KS290019006     
225,182152,10,03/11/2020,82882,1,3,4.575,KS320019801     
225,182471,20,24/11/2020,76794,7,3,3.24,KS400018679     
225,182487,10,09/11/2020,78392,1,3,1.215,120013044       
225,182487,10,09/11/2020,78397,12,3,1.075,120013044       
225,182502,20,10/11/2020,81379,2,3,2.048,KS360020550     
225,182570,10,10/11/2020,81376,8,3,0.81,KD420019999     
225,182720,10,09/11/2020,78401,13,3,7.35,020014816       
225,182720,20,09/11/2020,78401,14,3,6.3,KS230019456     
225,182740,30,06/11/2020,81031,5,3,0.975,220012824       
225,182777,10,12/11/2020,77455,10,3,1.9,KS440019226     
225,182831,70,04/11/2020,82020,0,3,6,KS320018586     
225,182831,70,04/11/2020,82020,2,3,0.6,KS320018586     
225,182831,90,17/11/2020,78722,0,3,6,KS320018586     
225,182831,90,17/11/2020,78722,2,3,0.8,KS320018586     
225,182831,100,17/11/2020,78721,5,3,0.3,KD420017021     
225,182831,100,17/11/2020,78721,7,3,0.03,KD420017021     
225,182887,10,11/11/2020,81879,2,3,15,KS260020913     
225,182888,10,17/11/2020,78731,0,3,9.65,KS260020913     
225,182906,20,24/11/2020,76794,8,3,2.23,KS320018689     
225,182907,20,09/11/2020,78392,2,3,2.13,120012780       
225,182908,10,17/11/2020,78720,6,3,2,060014877       
225,182909,10,23/11/2020,78609,11,3,0.72,120014768       
225,182909,10,23/11/2020,78609,16,3,1.455,120014768       
225,182910,20,18/11/2020,79338,7,3,4.2,KD420019412     
225,182911,10,03/11/2020,82884,4,3,2,KS360020188     
225,182926,10,10/11/2020,81379,3,3,2.05,KS360020455     
225,182949,30,04/11/2020,82024,1,3,2.2,KS290018633     
225,182920,10,03/11/2020,82884,7,3,2.1,KS320020511     
225,182921,10,04/11/2020,82024,0,3,2.075,KS320018902     
225,182904,90,12/11/2020,77451,5,3,9,KS360020616     
225,182904,90,12/11/2020,77452,13,3,6.925,KS360020616     
225,183003,30,03/11/2020,82881,5,3,31.5,KS260018970     
225,183003,40,03/11/2020,82881,6,3,31.5,KS260018970     
225,183018,10,03/11/2020,82881,7,3,32.65,KS260018970     
225,182965,10,12/11/2020,77451,0,3,1.25,KD420020806     
225,182967,10,03/11/2020,82886,8,3,15,KS320020120     
225,182967,10,11/11/2020,81876,1,3,5.375,KS320020120     
225,182967,10,11/11/2020,81876,2,3,27.75,KS320020120     
