Compania,Orden,Posicion,Entrega,TipoTrans,NumFac,Articulo,FchFac,Cliente
225,177818,10,0,FAT,172237,KS320019887     ,03/11/2020,871
225,181200,10,0,FAT,170790,030017231       ,25/09/2020,871
225,182822,10,0,FAT,171175,KS440020445     ,06/10/2020,115111
225,182822,20,0,FAT,171176,KS440020445     ,06/10/2020,115111
225,182831,50,0,FAT,170889,KS320018586     ,28/09/2020,821
225,182831,60,0,FAT,171565,KD420017021     ,15/10/2020,821
225,182831,70,0,FAT,172247,KS320018586     ,03/11/2020,821
225,182831,90,0,FAT,172779,KS320018586     ,15/11/2020,821
225,182831,100,0,FAT,172775,KD420017021     ,15/11/2020,821
225,180979,10,0,FAT,172238,KS320019887     ,03/11/2020,871
225,181303,10,0,FAT,170593,KS320020651     ,20/09/2020,6047
225,182869,40,0,FAT,170614,KS260020322     ,21/09/2020,115111
225,182869,50,0,FAT,170614,KS230120322     ,21/09/2020,115111
225,182869,60,0,FAT,170614,KS230220322     ,21/09/2020,115111
225,181423,10,0,FAT,170594,KS290019047     ,20/09/2020,6047
225,58037,10,0,FAT,171738,KS320018842     ,20/10/2020,115034
225,182886,10,0,FAT,170686,KS260020913     ,22/09/2020,257
225,182887,10,0,FAT,170949,KS260020913     ,30/09/2020,257
225,182888,10,0,FAT,172850,KS260020913     ,17/11/2020,257
225,181499,10,0,FAT,170547,030016163       ,19/09/2020,871
225,181590,10,0,FAT,171132,030017206       ,05/10/2020,871
225,182906,10,0,FAT,171739,KS320018842     ,20/10/2020,115034
225,182906,20,0,FAT,173153,KS320018689     ,24/11/2020,115034
225,182907,10,0,FAT,171082,120012780       ,03/10/2020,570
225,182907,20,0,FAT,172405,120012780       ,07/11/2020,570
225,182908,10,0,FAT,172770,060014877       ,15/11/2020,570
225,182909,10,0,FAT,173049,120014768       ,21/11/2020,570
225,182910,10,0,FAT,171619,KD420019412     ,17/10/2020,570
225,182910,20,0,FAT,172914,KD420019412     ,18/11/2020,570
225,182911,10,0,FAT,172176,KS360020188     ,01/11/2020,570
225,182912,10,0,FAT,171878,KS360020549     ,23/10/2020,570
225,182914,10,0,FAT,170840,KS320017888     ,26/09/2020,570
225,182914,20,0,FAT,171410,KS320017888     ,12/10/2020,570
225,182915,10,0,FAT,170841,KS320018301     ,26/09/2020,570
225,182915,20,0,FAT,171455,KS320018301     ,13/10/2020,570
225,182916,10,0,FAT,170695,KS320018478     ,22/09/2020,570
225,182916,40,0,FAT,171378,KS320018478     ,11/10/2020,570
225,182918,10,0,FAT,171096,KS230019556     ,04/10/2020,570
225,182919,10,0,FAT,172069,010019689       ,28/10/2020,570
225,182920,10,0,FAT,172179,KS320020511     ,01/11/2020,570
225,182921,10,0,FAT,172270,KS320018902     ,04/11/2020,570
225,182926,10,0,FAT,172574,KS360020455     ,10/11/2020,570
225,182926,20,0,FAT,173356,KS360020455     ,28/11/2020,570
225,182927,10,0,FAT,171097,KS320018594     ,04/10/2020,570
225,182927,20,0,FAT,172101,KS320018594     ,29/10/2020,570
225,182929,10,0,FAT,171098,030014637       ,04/10/2020,570
225,182933,10,0,FAT,171414,KS320019187     ,12/10/2020,570
225,182938,10,0,FAT,170996,KS320018871     ,01/10/2020,606
225,182949,20,0,FAT,171415,KS290018633     ,12/10/2020,570
225,182948,10,0,FAT,171399,KS360019341     ,12/10/2020,570
225,182949,10,0,FAT,170568,KS290018633     ,19/09/2020,570
225,182949,30,0,FAT,172271,KS290018633     ,04/11/2020,570
225,181863,40,0,FAT,170873,KS400018260     ,28/09/2020,987
225,182966,10,0,FAT,171193,KS320019035     ,06/10/2020,6047
225,182967,10,0,FAT,171194,KS320020120     ,06/10/2020,6047
225,182970,10,0,FAT,171895,KS290019006     ,24/10/2020,6047
225,182977,10,0,FAT,170524,KS320020814     ,18/09/2020,811
225,181930,10,0,FAT,170967,KD480020240     ,30/09/2020,6047
225,181936,10,0,FAT,173289,KS290019006     ,27/11/2020,6047
225,181946,10,0,FAT,171142,KS290019006     ,05/10/2020,6047
225,182030,10,0,FAT,171152,010018472       ,05/10/2020,138
225,182087,20,0,FAT,170564,120013044       ,19/09/2020,570
225,182997,10,0,FAT,172033,030016466       ,28/10/2020,871
225,183001,10,0,FAT,170548,KS320017193     ,19/09/2020,871
225,183003,30,0,FAT,172159,KS260018970     ,31/10/2020,115048
225,183003,40,0,FAT,172159,KS260018970     ,31/10/2020,115048
225,182152,10,0,FAT,172163,KS320019801     ,31/10/2020,871
225,183018,10,0,FAT,172160,KS260018970     ,31/10/2020,115048
225,183018,30,0,FAT,171011,KS320019583     ,01/10/2020,115048
225,183028,10,0,FAT,171946,22009449        ,26/10/2020,298
225,183028,20,0,FAT,171557,KS320016821     ,15/10/2020,298
225,183028,50,0,FAT,171462,KS400017427     ,13/10/2020,298
225,183028,60,0,FAT,171308,KS320018666     ,08/10/2020,298
225,183028,70,0,FAT,171463,KS320018667     ,13/10/2020,298
225,183028,80,0,FAT,171459,KS320018814     ,13/10/2020,298
225,183028,90,0,FAT,171509,220012825       ,14/10/2020,298
225,183028,100,0,FAT,171511,KS320016708     ,14/10/2020,298
225,183028,120,0,FAT,170581,KS320018380     ,19/09/2020,298
225,183028,130,0,FAT,171512,KS320018887     ,14/10/2020,298
225,183028,140,0,FAT,171119,KS320020554     ,05/10/2020,298
225,183028,150,0,FAT,171464,KS320015511     ,13/10/2020,298
225,183028,160,0,FAT,170747,KS320018134     ,24/09/2020,298
225,183028,170,0,FAT,171598,KS320015953     ,16/10/2020,298
225,183028,190,0,FAT,171557,KS320018532     ,15/10/2020,298
225,183028,210,0,FAT,171459,22009342        ,13/10/2020,298
225,182331,10,0,FAT,171107,KS320019035     ,04/10/2020,6047
225,183048,30,0,FAT,170728,020014450       ,23/09/2020,740
225,183048,40,0,FAT,171021,020014450       ,01/10/2020,740
225,183049,20,0,FAT,170900,KS260018700     ,28/09/2020,740
225,183049,30,0,FAT,171022,KS260018700     ,01/10/2020,740
225,183050,10,0,FAT,170604,KS230020840     ,20/09/2020,262
225,182357,10,0,FAT,172096,KS320018993     ,29/10/2020,871
225,182362,10,0,FAT,170572,KS320020681     ,19/09/2020,871
225,183054,20,0,FAT,171058,KS320019601     ,02/10/2020,115041
225,183055,10,0,FAT,170666,KS440019639     ,22/09/2020,115041
225,183055,20,0,FAT,171536,KS440019639     ,14/10/2020,115041
225,182421,10,0,FAT,172068,120013044       ,28/10/2020,570
225,182430,20,0,FAT,171086,KS320018299     ,04/10/2020,570
225,182430,30,0,FAT,171884,KS320018299     ,23/10/2020,570
225,182432,20,0,FAT,170566,060014877       ,19/09/2020,570
225,182436,20,0,FAT,171093,KS360020455     ,04/10/2020,570
225,182447,10,0,FAT,171635,KS320019887     ,17/10/2020,871
225,182448,10,0,FAT,172060,KS320019853     ,28/10/2020,871
225,182453,10,0,FAT,170573,KS320020847     ,19/09/2020,871
225,182470,10,0,FAT,171094,KS360020857     ,04/10/2020,570
225,182471,10,0,FAT,171545,KS400018679     ,15/10/2020,115034
225,182471,20,0,FAT,173152,KS400018679     ,24/11/2020,115034
225,182487,10,0,FAT,172404,120013044       ,07/11/2020,570
225,182488,10,0,FAT,171618,120014768       ,17/10/2020,570
225,182489,10,0,FAT,171095,060014877       ,04/10/2020,570
225,182489,20,0,FAT,172071,060014877       ,28/10/2020,570
225,182491,10,0,FAT,170839,KS360020549     ,26/09/2020,570
225,182492,10,0,FAT,171877,KS320019129     ,23/10/2020,570
225,182494,10,0,FAT,170847,BS400018173     ,27/09/2020,570
225,182496,10,0,FAT,170567,KS320018301     ,19/09/2020,570
225,182502,20,0,FAT,172573,KS360020550     ,10/11/2020,570
225,182514,10,0,FAT,170827,020014816       ,26/09/2020,138
225,182516,20,0,FAT,170828,KS230019456     ,26/09/2020,138
225,182567,10,0,FAT,171118,KS320018676     ,05/10/2020,298
225,182633,20,0,FAT,170829,KS230018987     ,26/09/2020,138
225,182638,10,0,FAT,171358,KS320020416     ,10/10/2020,138
225,182658,10,0,FAT,171377,KD420019412     ,11/10/2020,570
225,183060,30,0,FAT,170916,KS400017948     ,29/09/2020,902
225,182720,10,0,FAT,172496,020014816       ,09/11/2020,138
225,182720,20,0,FAT,172496,KS230019456     ,09/11/2020,138
225,182731,20,0,FAT,171301,KS400017012     ,08/10/2020,2004
225,182732,30,0,FAT,171050,KS360020888     ,02/10/2020,2004
225,182740,30,0,FAT,172361,220012824       ,06/11/2020,298
225,182763,20,0,FAT,170939,KS230019086     ,29/09/2020,216
225,183069,10,0,FAT,170512,BS400019410     ,18/09/2020,115059
225,183073,10,0,FAT,171349,KS320020937     ,09/10/2020,871
225,183074,10,0,FAT,171350,KS320020938     ,09/10/2020,871
225,183078,10,0,FAT,170693,010017920       ,22/09/2020,138
225,183090,10,0,FAT,171153,010018484       ,05/10/2020,138
225,183090,20,0,FAT,172509,010018484       ,09/11/2020,138
225,183091,10,0,FAT,171404,KS320019607     ,12/10/2020,115041
225,183093,10,0,FAT,171032,KS320020490     ,02/10/2020,138
225,183094,10,0,FAT,172281,KS320020416     ,04/11/2020,138
225,183095,10,0,FAT,172515,020018469       ,09/11/2020,138
225,183096,10,0,FAT,171154,010018795       ,05/10/2020,138
225,183096,20,0,FAT,172924,010018795       ,18/11/2020,138
225,183097,10,0,FAT,171197,KS230018876     ,06/10/2020,138
225,183105,10,0,FAT,171059,KS320019602     ,02/10/2020,115041
225,183105,20,0,FAT,171405,KS320019602     ,12/10/2020,115041
225,183105,30,0,FAT,171429,KS320019602     ,12/10/2020,115041
225,183142,10,0,FAT,171384,04008610        ,11/10/2020,524
225,183142,20,0,FAT,173020,04008610        ,20/11/2020,524
225,183150,20,0,FAT,170836,KS230019640     ,26/09/2020,138
225,183151,10,0,FAT,171435,KS440020373     ,13/10/2020,115041
225,183152,10,0,FAT,171754,KD480020136     ,21/10/2020,6047
225,183158,10,0,FAT,172055,KS290020931     ,28/10/2020,6047
225,183163,10,0,FAT,171816,KS290020882     ,22/10/2020,6047
225,183167,10,0,FAT,171145,KS290020887     ,05/10/2020,6047
225,183171,40,0,FAT,170626,KD420016605     ,21/09/2020,696
225,183172,10,0,FAT,171896,KS290020886     ,24/10/2020,6047
225,183174,10,0,FAT,170589,KS320017888     ,20/09/2020,570
225,183175,10,0,FAT,170590,KS320018299     ,20/09/2020,570
225,183178,30,0,FAT,170701,BS400020575     ,23/09/2020,115029
225,183180,10,0,FAT,172771,KS230019556     ,15/11/2020,570
225,183184,10,0,FAT,170725,KD480020136     ,23/09/2020,6047
225,183188,10,0,FAT,171620,KS360020188     ,17/10/2020,570
225,183191,10,0,FAT,171126,BS260020648     ,05/10/2020,216
225,183191,20,0,FAT,171126,KS260120648     ,05/10/2020,216
225,183201,10,0,FAT,172684,KS440019189     ,12/11/2020,827
225,183203,10,0,FAT,170811,KS440019188     ,25/09/2020,827
225,183204,10,0,FAT,171836,KS440019226     ,22/10/2020,827
225,183219,20,0,FAT,170579,KS320015674     ,19/09/2020,864
225,183221,10,0,FAT,170563,KS360019528     ,19/09/2020,1021
225,183223,10,0,FAT,171209,KS260020413     ,07/10/2020,115087
225,183223,20,0,FAT,171753,010120413       ,21/10/2020,115087
