Compania,Almacen,Articulo,Stock
225,PTM,010015547       ,40000
225,PTM,010015633       ,3000
225,PTM,010015664       ,25000
225,PTM,010015716       ,25000
225,PTM,010015814       ,9000
225,PTM,010017704       ,7900
225,PTM,010017883       ,20
225,PTM,010018472       ,5125
225,PTM,010018484       ,4075
225,PTM,010018486       ,1025
225,PTM,010018559       ,1050
225,PTM,010018704       ,1050
225,PTM,010018760       ,10360
225,PTM,010018795       ,6750
225,PTM,010019485       ,5080
225,PTM,010019689       ,1001980
225,PTM,010019900       ,1050
225,PTM,010021057       ,4100
225,PTM,010114419       ,12600
225,PTM,010115487       ,6300
225,PTM,010117708       ,8725
225,PTM,010120413       ,3000
225,PTM,010214419       ,6300
225,PTM,010215487       ,3150
225,PTM,010217708       ,8925
225,PTM,020014162       ,5618
225,PTM,020018157       ,675
225,PTM,020019859       ,12050
225,PTM,020020351       ,500
225,PTM,02007820        ,2225
225,PTM,030014249       ,5050
225,PTM,030014701       ,1100
225,PTM,030015608       ,1425
225,PTM,030015948       ,4000
225,PTM,030016286       ,1350
225,PTM,030016464       ,2100
225,PTM,030017129       ,2000
225,PTM,030019821       ,450
225,PTM,030019843       ,2000
225,PTM,03008665        ,1080
225,PTM,03008671        ,1025
225,PTM,03008672        ,1025
225,PTM,03008786        ,1322
225,PTM,04008609        ,1600
225,PTM,04008610        ,1575
225,PTM,050016273       ,23950
225,PTM,05008607        ,2100
225,PTM,050116273       ,23950
225,PTM,07000991H       ,1
225,PTM,07000991O       ,1
225,PTM,07000991Ñ       ,1
225,PTM,07115049        ,1
225,PTM,07115049A       ,1
225,PTM,07115052        ,1
225,PTM,07115052A       ,1
225,PTM,07115052B       ,1
225,PTM,07192A          ,1.88976438664223E-16
225,PTM,0751            ,1
225,PTM,0751B           ,1
225,PTM,07778F          ,1
225,PTM,07778G          ,1
225,PTM,07778H          ,1
225,PTM,07940A          ,1
225,PTM,080017192       ,5675
225,PTM,080020329       ,300
225,PTM,11002213        ,61000000
225,PTM,120014767       ,4181
225,PTM,210013359       ,8350
225,PTM,220012824       ,6250
225,PTM,220016270       ,20425
225,PTM,22009342        ,17225
225,PTM,240016339       ,225
225,PTM,24C000991C      ,1
225,PTM,24C000991D      ,1
225,PTM,24C000991E      ,1
225,PTM,24C1021A-24     ,1
225,PTM,24C1021A-25     ,1
225,PTM,24C1021A-26     ,1
225,PTM,24C1021A-27     ,1
225,PTM,24C1021A-28     ,1
225,PTM,24C1021A-30     ,1
225,PTM,24C1021A-31     ,1
225,PTM,24C1021A-32     ,1
225,PTM,24C115022       ,1
225,PTM,24C115022A      ,1
225,PTM,24C115054       ,1
225,PTM,24C115058A      ,1
225,PTM,24C115068       ,1
225,PTM,24C115068A      ,1
225,PTM,24C394A         ,1
225,PTM,24C513          ,1
225,PTM,24C51C          ,1
225,PTM,24C778W         ,1
225,PTM,24C778X         ,1
225,PTM,24C778Y         ,1
225,PTM,24C778Z         ,1
225,PTM,24C778Z-1       ,1
225,PTM,24C778Z-2       ,1
225,PTM,24C821          ,1
225,PTM,24C902          ,1
225,PTM,24C940C         ,1
225,PTM,990015560       ,13400
225,PTM,BD510020775     ,1895
225,PTM,BS290015210     ,1000
225,PTM,BS290018018     ,2500
225,PTM,BS290020488     ,10950
225,PTM,BS290020503     ,2000
225,PTM,BS320015211     ,1000
225,PTM,BS320015212     ,1000
225,PTM,BS320016259     ,7000
225,PTM,BS320017839     ,1300
225,PTM,BS320017907     ,2000
225,PTM,BS320019542     ,250
225,PTM,BS320019850     ,17250
225,PTM,BS320020763     ,1300
225,PTM,BS360020237     ,1620
225,PTM,BS400015213     ,2000
225,PTM,BS400017903     ,2000
225,PTM,BS400017906     ,1000
225,PTM,BS400018173     ,2000
225,PTM,BS400019352     ,1950
225,PTM,BS400020132     ,650
225,PTM,BS400020175     ,1000
225,PTM,BS400020195     ,5500
225,PTM,BS400020406     ,5875
225,PTM,BS400020505     ,2000
225,PTM,BS400021076     ,4465
225,PTM,BS440016839     ,3000
225,PTM,BS440019654     ,6300
225,PTM,BS510020221     ,4020
225,PTM,BS550020220     ,4100
225,PTM,BS610020567     ,4540
225,PTM,KD420015190     ,825
225,PTM,KD420016605     ,2700
225,PTM,KD420016612     ,2000
225,PTM,KD420017855     ,2200
225,PTM,KD420018625     ,4728
225,PTM,KD420018931     ,4708
225,PTM,KD420019172     ,800
225,PTM,KD420019670     ,4980
225,PTM,KD420020732     ,1690
225,PTM,KD420020902     ,3100
225,PTM,KD420020911     ,4380
225,PTM,KD480016592     ,1500
225,PTM,KD480016599     ,1064
225,PTM,KD480016600     ,5387
225,PTM,KD480016602     ,1210
225,PTM,KD480018873     ,2261
225,PTM,KD480019033     ,495
225,PTM,KD480019731     ,11
225,PTM,KD480020121     ,12700
225,PTM,KD480020189     ,4000
225,PTM,KD480020240     ,2610
225,PTM,KD480020929     ,3219
225,PTM,KD610020987     ,3795
225,PTM,KD820020988     ,4545
225,PTM,KD820020989     ,2320
225,PTM,KD820020990     ,6000
225,PTM,KD820020991     ,4540
225,PTM,KS230017042     ,5025
225,PTM,KS230017158     ,825
225,PTM,KS230018298     ,1240
225,PTM,KS230018388     ,1100
225,PTM,KS230018599     ,1050
225,PTM,KS230018724     ,7350
225,PTM,KS230018729     ,4200
225,PTM,KS230018793     ,5100
225,PTM,KS230018984     ,4100
225,PTM,KS230019074     ,8400
225,PTM,KS230019106     ,4000
225,PTM,KS230019297     ,1050
225,PTM,KS230019308     ,4985
225,PTM,KS230019356     ,2625
225,PTM,KS230019456     ,14550
225,PTM,KS230019457     ,5175
225,PTM,KS230019556     ,9725
225,PTM,KS230019640     ,5075
225,PTM,KS230019710     ,37
225,PTM,KS230019758     ,10500
225,PTM,KS230020193     ,1100
225,PTM,KS230020364     ,1200
225,PTM,KS230020578     ,3000
225,PTM,KS230020980     ,2200
225,PTM,KS230020984     ,6000
225,PTM,KS230021013     ,2205
225,PTM,KS230021015     ,1575
225,PTM,KS260015155     ,1000
225,PTM,KS260015158     ,3000
225,PTM,KS260015415     ,775
225,PTM,KS260016016     ,775
225,PTM,KS260017686     ,11500
225,PTM,KS260017730     ,2000
225,PTM,KS260018161     ,1200
225,PTM,KS260018508     ,7025
225,PTM,KS260019233     ,1961189
225,PTM,KS260019365     ,2200
225,PTM,KS260019371     ,2500
225,PTM,KS260019589     ,2625
225,PTM,KS260019620     ,1960650
225,PTM,KS260019722     ,3000
225,PTM,KS260020013     ,3200
225,PTM,KS260020079     ,7700
225,PTM,KS260020292     ,3093
225,PTM,KS260020377     ,2200
225,PTM,KS260020706     ,2500
225,PTM,KS260020730     ,1375
225,PTM,KS260021049     ,420
225,PTM,KS260118461     ,3000
225,PTM,KS290016032     ,925
225,PTM,KS290016139     ,13125
225,PTM,KS290016366     ,8025
225,PTM,KS290017258     ,275
225,PTM,KS290017869     ,5325
