Compania,ListaPrecios,Articulo,NivelDscto,CantOImp,Precio,Descuento,ImpDesc,FechaInicio,FechaCaducidad
225,014,01006117        ,1,99999999,6234,0,0,04/11/2010,17/02/2021
225,014,01006118        ,1,99999999,5072,0,0,04/11/2010,09/04/2012
225,014,070014533       ,1,99999999,28914,0,0,23/12/2010,17/02/2021
225,014,040014534       ,1,99999999,9795,0,0,29/12/2010,25/11/2012
225,014,030014535       ,1,99999999,3856,0,0,29/12/2010,17/02/2021
225,014,01009519        ,1,99999999,2389,0,0,04/01/2011,17/02/2021
225,014,230113706       ,1,99999999,2699,0,0,08/12/2010,17/02/2021
225,014,240213706       ,1,99999999,122,0,0,08/12/2010,17/02/2021
225,014,240313706       ,1,99999999,248,0,0,08/12/2010,17/02/2021
225,014,240013706       ,1,99999999,9721,0,0,08/12/2010,17/02/2021
225,014,02005987        ,1,99999999,10183,0,0,14/05/2010,01/10/2015
225,014,010014000       ,1,99999999,9172,0,0,05/01/2011,17/02/2021
225,014,040014382       ,1,99999999,3380,0,0,02/12/2010,17/02/2021
225,014,060012466       ,1,99999999,5421,0,0,20/10/2010,04/07/2011
225,014,060112466       ,1,99999999,1471,0,0,20/10/2010,17/02/2021
225,014,240214537       ,1,99999999,13049,0,0,08/01/2011,13/01/2011
225,014,01000151        ,1,99999999,990,0,0,18/05/2010,26/11/2012
225,014,040014537       ,1,99999999,6582,0,0,08/01/2011,17/02/2021
225,014,02007382        ,1,99999999,2903,0,0,30/07/2010,08/09/2013
225,014,110010649       ,1,99999999,3027,0,0,08/01/2011,17/02/2021
225,014,050014184       ,1,99999999,25937,0,0,24/05/2010,17/02/2021
225,014,050114184       ,1,99999999,14395,0,0,24/05/2010,17/02/2021
225,014,320014124       ,1,99999999,5936,0,0,28/05/2010,18/12/2012
225,014,030011691       ,1,99999999,5072,0,0,12/01/2011,22/11/2012
225,014,020014539       ,1,99999999,9585,0,0,12/01/2011,17/02/2021
225,014,130014142       ,1,99999999,131382,0,0,21/12/2010,17/02/2021
225,014,050013893       ,1,99999999,9795,0,0,02/12/2010,12/12/2012
225,014,040011020       ,1,99999999,6702,0,0,02/06/2010,26/06/2011
225,014,040011023       ,1,99999999,9018,0,0,02/06/2010,26/06/2011
225,014,030014538       ,1,99999999,5417,0,0,14/01/2011,17/02/2021
225,014,071021          ,1,99999999,1816.91,0,0,14/01/2011,31/01/2011
225,014,020014540       ,1,99999999,2383,0,0,14/01/2011,17/02/2021
225,014,240114537       ,1,99999999,12003,0,0,14/01/2011,17/02/2021
225,014,240214537       ,1,99999999,18585,0,0,14/01/2011,17/02/2021
225,014,05009152        ,1,99999999,2464,0,0,19/05/2010,20/12/2012
225,014,05008525        ,1,99999999,931,0,0,14/05/2010,17/02/2021
225,014,250013590       ,1,99999999,6953,0,0,13/01/2011,27/11/2012
225,014,01008330        ,1,99999999,6427,0,0,13/01/2011,17/02/2021
225,014,01018330        ,1,99999999,6647,0,0,13/01/2011,17/02/2021
225,014,030014541       ,1,99999999,2678,0,0,17/01/2011,17/02/2021
225,014,030014542       ,1,99999999,3773,0,0,17/01/2011,17/02/2021
225,014,07756           ,1,99999999,1489.52,0,0,19/01/2011,22/03/2011
225,014,130014543       ,1,99999999,11247,0,0,17/01/2011,21/02/2013
225,017,020010570       ,1,99999999,5581,0,0,19/01/2011,01/06/2016
225,014,24P713A         ,1,99999999,2948.8,0,0,20/01/2011,17/02/2021
225,014,010014536       ,1,9999999,1437,0,0,20/01/2011,17/02/2021
225,014,020014546       ,1,99999999,3383,0,0,20/01/2011,28/07/2011
225,014,110014071       ,1,99999999,3987,0,0,14/12/2010,19/01/2011
225,014,110010698       ,1,99999999,2730,0,0,14/12/2010,05/06/2011
225,014,010010553       ,1,99999999,404,0,0,18/05/2010,26/11/2012
225,014,01000146        ,1,99999999,515,0,0,18/05/2010,26/11/2012
225,014,01000511        ,1,99999999,783,0,0,18/05/2010,26/11/2012
225,014,010010488       ,1,99999999,8594,0,0,18/05/2010,26/11/2012
225,014,110014547       ,1,99999999,13571,0,0,20/01/2011,17/02/2021
225,014,140011478       ,1,99999999,11007,0,0,24/05/2010,30/05/2012
225,014,030014336       ,1,99999999,8233,0,0,19/01/2011,02/02/2013
225,014,07758           ,1,99999999,1486.64,0,0,24/01/2011,17/02/2021
225,014,020011221       ,1,99999999,5520,0,0,02/12/2010,17/02/2021
225,014,160014544       ,1,99999999,20407,0,0,24/01/2011,17/02/2021
225,017,020014162       ,1,99999999,1932,0,0,25/01/2011,15/11/2011
225,014,05007212        ,1,99999999,5647,0,0,25/01/2011,17/02/2021
225,014,21007758        ,1,99999999,4670,0,0,19/05/2010,17/02/2021
225,014,050114544       ,1,99999999,1761,0,0,24/01/2011,17/02/2021
225,014,160214544       ,1,99999999,23929,0,0,24/01/2011,25/11/2012
225,014,020011295       ,1,99999999,4703,0,0,08/01/2011,17/02/2021
225,014,020011448       ,1,99999999,4911,0,0,19/01/2011,17/02/2021
225,014,240011817       ,1,99999999,3821,0,0,20/05/2010,08/01/2013
225,014,040014555       ,1,99999999,3158,0,0,03/02/2011,17/02/2021
225,014,040212852       ,1,99999999,40632,0,0,20/09/2010,26/06/2011
225,014,040012555       ,1,99999999,7243,0,0,19/01/2011,17/02/2021
225,014,05009310        ,1,99999999,2920,0,0,19/05/2010,20/12/2012
225,014,05009522        ,1,99999999,5806,0,0,19/05/2010,20/12/2012
225,014,13005852        ,1,99999999,6456,0,0,21/01/2011,16/01/2012
225,014,020012425       ,1,99999999,6934,0,0,02/06/2010,17/02/2021
225,014,230012456       ,1,99999999,4714,0,0,24/05/2010,27/05/2015
225,014,140011479       ,1,99999999,21467,0,0,25/01/2011,25/11/2012
225,014,020010470       ,1,99999999,3437,0,0,20/01/2011,17/02/2021
225,014,110014071       ,1,99999999,4336,0,0,20/01/2011,17/02/2021
225,014,02008946        ,1,99999999,3097,0,0,20/01/2011,17/02/2021
225,014,020014545       ,1,99999999,3383,0,0,20/01/2011,27/05/2015
225,014,240410818       ,1,99999999,3396,0,0,01/02/2011,17/02/2021
225,014,040014549       ,1,99999999,3509,0,0,01/02/2011,17/02/2021
225,014,071021          ,1,99999999,1170.82,0,0,01/02/2011,03/03/2011
225,014,040014548       ,1,99999999,3158,0,0,01/02/2011,17/02/2021
225,014,071021C         ,1,99999999,1171.9,0,0,01/02/2011,07/03/2011
225,014,040014550       ,1,99999999,4107,0,0,01/02/2011,17/02/2021
225,014,071021B         ,1,99999999,1384.2,0,0,01/02/2011,07/03/2011
225,014,040014551       ,1,99999999,795,0,0,01/02/2011,17/02/2021
225,014,010014277       ,1,99999999,3632,0,0,19/05/2010,17/02/2021
225,014,010014278       ,1,99999999,121,0,0,19/05/2010,17/02/2021
225,014,071021-B1       ,1,99999999,1104.88,0,0,02/02/2011,17/02/2021
225,014,020014025       ,1,99999999,1643,0,0,24/05/2010,17/02/2021
225,014,040014552       ,1,99999999,3158,0,0,02/02/2011,17/02/2021
225,014,030012248       ,1,99999999,8102,0,0,24/05/2010,17/02/2021
