Compania,Cliente,SaldoOrden,SaldoFactura
225,    14,0,0
225,    15,57628.8,-57628.8
225,    16,0,0
225,    17,0,0
225,    18,0,0
225,    19,-4.54747350886464E-13,3.29396249859614E-11
225,    20,0,-1.76214598468504E-12
225,    21,0,0
225,    22,0,0
225,    23,-5.82076609134674E-11,1.60798648701776E-11
225,    24,0,0
225,    25,0,0
225,    26,0,0
225,    27,0,0
225,    28,-4.54747350886464E-13,0
225,    29,0,0
225,    30,0,3.63797880709171E-12
225,    31,0,0
225,    32,0,0
225,    33,0,0
225,    34,0,0
225,    35,0,0
225,    36,0,0
225,    37,0,0
225,    38,0,0
225,    39,0,0
225,    40,0,0
225,    41,0,0
225,    42,0,0
225,    43,0,0
225,    44,13414319.1299999,12317437.15
225,    45,-1.93267624126747E-12,0
225,    46,0,0
225,    47,0,0
225,    48,0,0
225,    49,0,0
225,    50,0,-5.23868969037888E-12
225,    51,111953.359999999,396404.69
225,    52,0,0
225,    53,-1.81898940354585E-12,0
225,    54,0,0
225,    55,0,0
225,    56,0,0
225,    57,0,0
225,    58,-9.09494701772928E-13,0
225,    59,0,0
225,    60,0,0
225,    61,0,0
225,    62,0,0
225,    63,0,3.41060513164848E-12
225,    64,0,0
225,    65,0,1.28164145962728E-12
225,    66,0,0
225,    67,0,0
225,    68,0,0
225,    69,-2.27373675443232E-12,0
225,    70,0,0
225,    71,0,0
225,    72,0,0
225,    73,0,0
225,    74,0,0
225,    75,0,0
225,    76,0,0
225,    77,0,0
225,    78,0,0
225,    79,0,0
225,    80,0,8.18545231595635E-12
225,    81,-1.81898940354585E-12,0
225,    82,0,0
225,    83,0,0
225,    84,0,0
225,    85,1.77635683940025E-15,-5.286448362396E-13
225,    86,0,0
225,    87,-2.50111042987555E-11,0
225,    88,0,0
225,    89,0,0
225,    90,0,-5.45696821063756E-12
225,    91,0,0
225,    92,0,0
225,    93,0,0
225,    94,0,0
225,    95,0,0
225,    96,0,0
225,    97,0,0
225,    98,-1.36424205265939E-12,0
225,    99,1.81898940354585E-12,0
225,   100,0,0
225,   101,-1.45519152283668E-11,0
225,   102,0,0
225,   103,-1.45519152283668E-11,0
225,   104,0,0
225,   105,0,0
225,   106,0,0
225,   107,-2.27373675443232E-13,0
225,   108,-2.54658516496419E-11,0
225,   109,0,1.81898940354585E-12
225,   110,0,0
225,   111,0,0
225,   112,0,0
225,   113,0,0
225,   114,0,0
225,   115,0,0
225,   116,0,0
225,   117,0,-2.17027958104853E-12
225,   118,0,-1.39664321774368E-12
225,   119,0,0
225,   120,0,0
225,   121,1.22213350550737E-12,4.54747350886464E-13
225,   122,0,0
225,   123,0,0
225,   124,0,0
225,   125,0,0
225,   126,0,0
225,   127,0,0
225,   128,0,9.09494701772928E-13
225,   129,-1.81898940354585E-12,0
225,   130,0,0
225,   131,-1.36424205265939E-12,0
225,   132,0,0
225,   133,-1.81898940354585E-11,1.09139364212751E-11
225,   134,0,0
225,   135,9.09494701772928E-12,0
225,   136,-5.18411980010569E-11,0
225,   137,0,0
225,   138,1057243.80999999,1673590.98
225,   139,-5.45696821063756E-12,0
225,   140,0,0
225,   141,0,0
225,   142,0,0
225,   143,0,-1.60071088328717E-12
225,   144,1.45519152283668E-11,0
225,   145,0,0
225,   146,0,0
225,   147,-0.020000000001664,-1.4125645098062E-12
225,   148,4.54747350886464E-13,0
225,   149,0,1.45550238528358E-13
225,   150,4.54747350886464E-12,0
225,   151,0,0
225,   152,0,0
225,   153,-1.25055521493777E-12,0
225,   154,0,0
225,   155,-7.95807864051312E-12,-3.63797880709171E-12
225,   156,0,0
225,   157,0,0
225,   158,0,3.75168646149504E-14
225,   159,0,0
225,   160,0,0
225,   161,0,0
225,   162,47029.9200000001,120267.47
225,   163,0,0
225,   164,2.72848410531878E-12,0
225,   165,0,0
225,   166,0,0
225,   167,0,-3.30402372128446E-13
225,   168,0,0
225,   169,0,0
225,   170,1.45519152283668E-11,0
225,   171,0,0
225,   172,0,0
225,   173,0,2.27373675443232E-13
225,   174,3.63797880709171E-12,-1.80761655643735E-13
225,   175,-5.6843418860808E-12,0
225,   176,0,0
225,   177,0,0
225,   178,0,0
225,   179,0,0
225,   180,0,0
225,   181,0,0
225,   182,0,0
225,   183,5.63886715099215E-11,9.09494701772928E-13
225,   184,0,0
225,   185,0,0
225,   186,0,0
225,   187,7.28306304154102E-14,0
225,   188,3.63797880709171E-12,1.04038444526111E-11
225,   189,7.27595761418342E-12,0
225,   190,0,5.67524673089625E-12
225,   191,0,0
225,   192,0,-3.24149596053757E-11
225,   193,-1.36424205265939E-12,0
225,   194,0,0
225,   195,0,0
225,   196,7.27595761418342E-12,0
225,   197,0,0
225,   198,0,-3.44613226843648E-13
225,   199,224607.749999999,170140.32
225,   200,0,-1.31723260771154E-11
225,   201,-704.470000000002,2.29420038522221E-10
225,   203,13649.3199999999,1.67915459314826E-10
225,   204,0,-4.54747350886464E-13
225,   205,-1.09139364212751E-11,3.73256633934282E-11
225,   206,0,0
225,   207,200763.839999997,479268.17
225,   208,1.81898940354585E-12,2.04636307898908E-12
225,   209,-1.81898940354585E-12,0
225,   210,-0.00999999998384737,7.89449061677771E-12
225,   211,-4.46789272245951E-11,3.18323145620524E-12
225,   212,0,0
225,   213,0,0
225,   214,0,0
225,   215,0,0
225,   216,151744.159999999,175730.959999999
225,   217,0,0
225,   218,-0.0300000000934232,88330.06
225,   219,0,0
225,   220,0,0
225,   221,0,0
225,   222,-3.49231754626089E-12,0
225,   223,0,0
225,   224,0,0
225,   225,0,5.17275111633352E-12
225,   226,7.27595761418342E-12,0
225,   227,0,0
225,   228,0,0
225,   229,0,0
225,   230,-1.36779476633819E-13,0
225,   231,315447.329999994,4.06208178205247E-10
225,   232,0,0
225,   233,0,0
225,   234,0,0
225,   235,0,-1.477928890381E-12
225,   236,0,0
225,   237,0,0
225,   238,0,2.8421709430404E-14
225,   239,0,0
225,   240,0,0
225,   241,-1.16415321826934E-10,1.22321389128821E-10
225,   242,-3.63797880709171E-12,2.11031192520749E-12
225,   243,0,0
225,   244,-0.120000000140862,1.53394382265692E-10
225,   245,-8.73114913702011E-11,4.09983158533577E-12
225,   246,-1.45519152283668E-11,1.13686837721616E-12
225,   247,0,0
225,   248,0,9.16600129130529E-13
225,   249,0,-9.09494701772928E-13
225,   250,3.63797880709171E-12,0
225,   251,0,0
225,   252,0,3.08790389091928E-11
225,   253,0,2.32830421609264E-12
225,   254,-4.54747350886464E-13,1.18918763725162E-12
225,   255,0,0
225,   257,215759.979999999,5.82076609134674E-11
225,   258,-2.22257767745759E-11,2.45665883469303E-11
225,   259,0,0
225,   260,0,0
225,   261,0,0
225,   262,522743.510000009,2907852.87
225,   263,0,0
225,   264,0,2.27373675443232E-13
225,   265,-9.09494701772928E-13,9.09494701772928E-13
225,   266,0,0
225,   267,0,0
225,   268,0,-5.6843418860808E-14
225,   269,0,0
225,   270,-1.64072844199836E-09,0
225,   271,-2.91038304567337E-11,0
225,   272,0,0
225,   273,-7.27595761418342E-12,0
225,   274,0,0
225,   275,0,8.13081546535698E-12
225,   276,-4.54747350886464E-13,0
225,   277,0,3.05577785297828E-12
225,   278,0,0
225,   279,9.09494701772928E-13,0
225,   280,0,-2.95585778076201E-12
225,   281,0,0
225,   282,0,4.3200998334214E-12
225,   283,-1.25144339335747E-11,3.63797880709171E-12
225,   284,0,0
225,   285,0,0
225,   286,0,0
225,   287,-8.41282599139958E-12,-5.34328137291595E-12
225,   288,0,0
225,   289,0,0
225,   290,-7.63975549489259E-11,3.51221274286217E-11
225,   291,-9.09494701772928E-13,0
225,   292,0,1.10844666778575E-12
225,   293,0,-1.13686837721616E-12
225,   294,0,1.26419708035285E-12
225,   295,8.5265128291212E-13,0
225,   296,0,-4.8203229602306E-12
225,   297,0,0
225,   298,1226088.57999999,2360849.92999999
225,   299,0,0
225,   300,0,0
225,   301,0,0
225,   302,0,0
225,   303,0,0
225,   304,0,5.52802248421357E-12
225,   305,0,0
225,   308,0,-2.94676262557747E-12
225,   309,0,0
225,   310,0,0
225,   311,0,0
225,   312,0,0
225,   313,0,0
225,   314,0,0
225,   315,0,0
225,   316,3.63797880709171E-12,-2.77518095309625E-11
225,   317,0,2.27373675443232E-13
225,   318,-4.54747350886464E-13,4.53970194769226E-13
225,   319,0,-9.09494701772928E-13
225,   320,0,0
225,   321,8.73114913702011E-11,2.04636307898908E-12
225,   322,0,-5.30775423612794E-12
225,   323,3.63797880709171E-12,-1.36566105646274E-13
225,   324,0,0
